Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,059,12,021,FL,Collier County,140,243,31737,140,243,31737,36059,12021,226692.85714285713
36,059,12,101,FL,Pasco County,138,274,15090,138,274,15090,36059,12101,109347.82608695653
36,059,12,097,FL,Osceola County,115,212,10076,115,212,10076,36059,12097,87617.39130434782
36,059,12,009,FL,Brevard County,108,188,10772,108,188,10772,36059,12009,99740.74074074074
36,059,12,105,FL,Polk County,106,179,6556,106,179,6556,36059,12105,61849.056603773584
36,059,12,115,FL,Sarasota County,103,183,18182,103,183,18182,36059,12115,176524.2718446602
36,059,12,081,FL,Manatee County,92,168,12579,92,168,12579,36059,12081,136728.26086956522
36,059,12,109,FL,St. Johns County,90,229,14366,90,229,14366,36059,12109,159622.22222222222
36,059,12,117,FL,Seminole County,86,164,5763,86,164,5763,36059,12117,67011.62790697675
36,059,12,031,FL,Duval County,79,145,5530,79,145,5530,36059,12031,70000.0
36,059,12,069,FL,Lake County,73,137,5354,73,137,5354,36059,12069,73342.46575342465
36,059,12,127,FL,Volusia County,70,109,7378,70,109,7378,36059,12127,105400.0
36,059,12,061,FL,Indian River County,62,103,7742,62,103,7742,36059,12061,124870.96774193548
36,059,12,085,FL,Martin County,62,109,26073,62,109,26073,36059,12085,420532.2580645161
36,059,12,083,FL,Marion County,48,84,3628,48,84,3628,36059,12083,75583.33333333333
36,059,12,119,FL,Sumter County,40,64,6312,40,64,6312,36059,12119,157800.0
36,059,12,015,FL,Charlotte County,39,63,3423,39,63,3423,36059,12015,87769.23076923077
36,059,12,035,FL,Flagler County,38,63,6552,38,63,6552,36059,12035,172421.05263157896
36,059,12,053,FL,Hernando County,36,59,2865,36,59,2865,36059,12053,79583.33333333333
36,061,12,086,FL,Miami-Dade County,1873,2676,1605051,1873,2676,1605051,36061,12086,856941.2706887346
36,061,12,099,FL,Palm Beach County,852,1314,474319,852,1314,474319,36061,12099,556712.441314554
36,061,12,011,FL,Broward County,608,903,113191,608,903,113191,36061,12011,186169.40789473685
36,061,12,031,FL,Duval County,537,907,388768,537,907,388768,36061,12031,723962.7560521415
36,061,12,095,FL,Orange County,300,486,30200,300,486,30200,36061,12095,100666.66666666667
36,061,12,057,FL,Hillsborough County,292,456,44809,292,456,44809,36061,12057,153455.4794520548
36,061,12,103,FL,Pinellas County,180,237,46548,180,237,46548,36061,12103,258600.0
36,061,12,021,FL,Collier County,124,179,164501,124,179,164501,36061,12021,1326620.9677419355
36,061,12,097,FL,Osceola County,121,195,8067,121,195,8067,36061,12097,66669.42148760331
36,061,12,115,FL,Sarasota County,111,150,31874,111,150,31874,36061,12115,287153.15315315314
36,061,12,071,FL,Lee County,91,133,25038,91,133,25038,36061,12071,275142.85714285716
36,061,12,105,FL,Polk County,87,179,7948,87,179,7948,36061,12105,91356.32183908045
36,061,12,127,FL,Volusia County,76,112,9788,76,112,9788,36061,12127,128789.47368421052
36,061,12,117,FL,Seminole County,69,114,5554,69,114,5554,36061,12117,80492.7536231884
36,061,12,101,FL,Pasco County,59,95,4770,59,95,4770,36061,12101,80847.45762711864
36,061,12,009,FL,Brevard County,47,65,3843,47,65,3843,36061,12009,81765.9574468085
36,061,12,081,FL,Manatee County,47,81,14264,47,81,14264,36061,12081,303489.3617021277
36,061,12,061,FL,Indian River County,42,67,41601,42,67,41601,36061,12061,990500.0
36,061,12,109,FL,St. Johns County,38,66,4744,38,66,4744,36061,12109,124842.1052631579
36,061,12,001,FL,Alachua County,33,54,5562,33,54,5562,36061,12001,168545.45454545456
36,061,12,111,FL,St. Lucie County,33,59,4494,33,59,4494,36061,12111,136181.81818181818
36,061,12,069,FL,Lake County,32,64,2046,32,64,2046,36061,12069,63937.5
36,061,12,085,FL,Martin County,29,42,4778,29,42,4778,36061,12085,164758.62068965516
36,061,12,073,FL,Leon County,28,39,2924,28,39,2924,36061,12073,104428.57142857143
36,061,12,083,FL,Marion County,27,47,2662,27,47,2662,36061,12083,98592.5925925926
36,061,12,087,FL,Monroe County,21,26,2866,21,26,2866,36061,12087,136476.19047619047
36,061,12,053,FL,Hernando County,20,32,710,20,32,710,36061,12053,35500.0
36,063,12,057,FL,Hillsborough County,31,56,2278,31,56,2278,36063,12057,73483.87096774194
36,063,12,103,FL,Pinellas County,29,43,1781,29,43,1781,36063,12103,61413.793103448275
36,063,12,071,FL,Lee County,25,45,3034,25,45,3034,36063,12071,121360.0
36,063,12,115,FL,Sarasota County,23,37,3453,23,37,3453,36063,12115,150130.4347826087
36,065,12,103,FL,Pinellas County,33,46,2906,33,46,2906,36065,12103,88060.60606060606
36,065,12,127,FL,Volusia County,28,52,1561,28,52,1561,36065,12127,55750.0
36,065,12,057,FL,Hillsborough County,27,40,1005,27,40,1005,36065,12057,37222.22222222222
36,065,12,031,FL,Duval County,25,47,1220,25,47,1220,36065,12031,48800.0
36,065,12,009,FL,Brevard County,21,34,1103,21,34,1103,36065,12009,52523.80952380953
36,065,12,011,FL,Broward County,21,30,2240,21,30,2240,36065,12011,106666.66666666667
36,067,12,057,FL,Hillsborough County,118,202,10899,118,202,10899,36067,12057,92364.40677966102
36,067,12,071,FL,Lee County,66,115,7446,66,115,7446,36067,12071,112818.18181818182
36,067,12,103,FL,Pinellas County,59,92,6331,59,92,6331,36067,12103,107305.08474576271
36,067,12,009,FL,Brevard County,55,85,4348,55,85,4348,36067,12009,79054.54545454546
36,067,12,115,FL,Sarasota County,55,96,12999,55,96,12999,36067,12115,236345.45454545456
36,067,12,127,FL,Volusia County,51,90,6076,51,90,6076,36067,12127,119137.25490196078
36,067,12,095,FL,Orange County,49,81,3405,49,81,3405,36067,12095,69489.79591836735
36,067,12,086,FL,Miami-Dade County,48,66,3092,48,66,3092,36067,12086,64416.666666666664
36,067,12,099,FL,Palm Beach County,48,76,14947,48,76,14947,36067,12099,311395.8333333333
36,067,12,105,FL,Polk County,47,96,3801,47,96,3801,36067,12105,80872.34042553192
36,067,12,021,FL,Collier County,43,67,13213,43,67,13213,36067,12021,307279.06976744183
36,067,12,011,FL,Broward County,38,66,3788,38,66,3788,36067,12011,99684.21052631579
36,067,12,031,FL,Duval County,33,66,1979,33,66,1979,36067,12031,59969.69696969697
36,067,12,083,FL,Marion County,30,51,1715,30,51,1715,36067,12083,57166.666666666664
36,067,12,101,FL,Pasco County,29,55,2248,29,55,2248,36067,12101,77517.24137931035
36,067,12,111,FL,St. Lucie County,24,37,3197,24,37,3197,36067,12111,133208.33333333334
36,067,12,081,FL,Manatee County,23,44,2461,23,44,2461,36067,12081,107000.0
36,067,12,069,FL,Lake County,21,38,1887,21,38,1887,36067,12069,89857.14285714286
36,067,12,015,FL,Charlotte County,20,31,1942,20,31,1942,36067,12015,97100.0
36,071,12,099,FL,Palm Beach County,116,180,12924,116,180,12924,36071,12099,111413.79310344828
36,071,12,057,FL,Hillsborough County,81,154,6292,81,154,6292,36071,12057,77679.01234567902
36,071,12,011,FL,Broward County,73,105,7954,73,105,7954,36071,12011,108958.90410958904
36,071,12,101,FL,Pasco County,60,120,4692,60,120,4692,36071,12101,78200.0
36,071,12,111,FL,St. Lucie County,60,100,6518,60,100,6518,36071,12111,108633.33333333333
36,071,12,105,FL,Polk County,59,120,4775,59,120,4775,36071,12105,80932.20338983051
36,071,12,095,FL,Orange County,58,100,4050,58,100,4050,36071,12095,69827.58620689655
36,071,12,071,FL,Lee County,50,90,6212,50,90,6212,36071,12071,124240.0
36,071,12,115,FL,Sarasota County,49,100,5817,49,100,5817,36071,12115,118714.28571428571
