NAME,median_home_value,median_gross_rent,population,median_hh_income,nh_white,total_race_eth,housing_units_occupied,owner_occupied_units,renter_occupied_units,state,county,county_fips5,pct_nh_white,pct_owner_occupied,owner_to_renter_ratio,affordability_index,lat,lon,land_sqmi,pop_density,log_pop_density,dem_two_party_share
"Leon County, Florida",256900,1157,294128,61317,161620,294128,118755,61897,56858,12,073,12073,0.5494886579992384,0.5212159488021557,1.0886242920960991,0.018869155372898218,30.45931,,668.4294773752486,440.0284696524237,6.089109430398104,0.6430825619680686
"Levy County, Florida",151800,798,43268,49933,33674,43268,17843,14207,3636,12,075,12075,0.77826569289082,0.7962226083057782,3.9073157315731573,0.015981415096228947,29.271854,,1118.2225545522977,38.69354970873682,3.681188698642056,0.2703232552060643
"Liberty County, Florida",113300,884,7704,51723,5584,7704,2447,1973,474,12,077,12077,0.7248182762201454,0.8062934205149163,4.162447257383966,0.0170910426696054,30.259849,,835.5633314931514,9.220126960613452,2.3243590074590084,0.196045197740113
"Madison County, Florida",92400,832,17986,43386,9742,17986,6693,4748,1945,12,079,12079,0.5416435005003892,0.7093978783803975,2.4411311053984575,0.01917669294242382,30.447233,,696.5288666000735,25.82233251551229,3.2892348433304006,0.4019092566770353
"Manatee County, Florida",323900,1418,405069,71385,282634,405069,161656,121011,40645,12,081,12081,0.6977428536866559,0.7485710397387044,2.9772665764546686,0.019864117111437977,27.475556,,742.7617348214128,545.3552344041975,6.303269376650273,0.4190785162186909
"Marion County, Florida",194900,1092,378225,55265,256840,378225,154996,118521,36475,12,083,12083,0.6790666931059555,0.7646713463573254,3.2493762851267993,0.019759341355288156,29.202805,,1588.4219408506435,238.1136839481392,5.476939103893725,0.36933354384164513
"Martin County, Florida",359200,1374,159399,77894,122277,159399,66724,53652,13072,12,085,12085,0.7671127171437713,0.8040884839038427,4.104345165238678,0.017639356047962615,27.083604,,543.8215285155405,293.1090286828263,5.683950544452305,0.3762250028043769
"Miami-Dade County, Florida",387000,1623,2688237,64215,350398,2688237,952680,494141,458539,12,086,12086,0.13034490634568308,0.5186851828525842,1.0776422507136798,0.025274468582106985,25.616009,,1899.9040850274914,1414.9330069791927,7.255543961679071,0.5369476065376029
"Monroe County, Florida",696900,1919,82044,80111,52339,82044,34388,21391,12997,12,087,12087,0.6379381795134318,0.6220483889728975,1.6458413480033853,0.023954263459450013,25.58612,,983.042165652914,83.45928879409588,4.436269628846331,0.45993609955017445
"Nassau County, Florida",306800,1171,91538,84085,77891,91538,36336,30031,6305,12,089,12089,0.8509143743581901,0.8264806252752092,4.76304520222046,0.013926384016174109,30.605963,,648.6808010026128,141.1140885602244,4.956630175580624,0.2677447101324617
"Okaloosa County, Florida",295400,1382,212021,73988,151067,212021,83334,56031,27303,12,091,12091,0.7125096098971329,0.6723666210670315,2.0521920668058455,0.01867870465480889,30.614325,,930.1944466020944,227.93191334832315,5.43342463772236,0.30029987899619454
"Okeechobee County, Florida",158500,963,39870,50476,24624,39870,14919,11101,3818,12,093,12093,0.6176072234762979,0.7440847241772237,2.9075432163436354,0.019078373880656155,27.385592,,769.1642197313256,51.8354845132121,3.9671830201587372,0.27679697351828497
"Orange County, Florida",329000,1553,1427403,72629,535722,1427403,491378,279925,211453,12,095,12095,0.37531236798577555,0.5696734489537586,1.3238166401044205,0.02138264329675474,28.514391,,902.0235848483953,1582.4453195865228,7.367358334019368,0.6168123020805356
"Osceola County, Florida",285200,1537,393745,64312,112392,393745,119817,78747,41070,12,097,12097,0.2854436246809483,0.6572272715891735,1.9173849525200877,0.023899116805572832,28.059027,,1327.5462208797337,296.5960761344147,5.695737117839805,0.5697312870000059
"Palm Beach County, Florida",368300,1700,1494805,76066,773159,1494805,589594,409975,179619,12,099,12099,0.517230675573068,0.695351377388508,2.282470117303849,0.022349012699497805,26.649126,,1964.2986331470051,760.9866314498072,6.635929011503624,0.5643389219857787
